,Institution Name,Institution Logo,Institution address,country_name,provience_name,city_name,postal_code,website,inst currency
0,st clair college,https://www.stclaircollege.ca/themes/custom/scc/logo.svg,"2000 Talbot Rd. W., Windsor, ON N9A 6S4 | 1001 Grand Ave. W., Chatham, ON N7M 5W4 | 3403 St. Etienne Blvd., Windsor, ON N8W 5B1 | 201 Riverside Dr. W., Windsor, ON N9A 5K4 | 275 Victoria Ave., Windsor, ON N9A 6Z8 | 1 Riverside Dr. W., Windsor, ON N9A 5K3 | 333 Riverside Dr. W., Windsor, ON N9A 7C5",Canada,ON,ON,N9A 7C5,https://www.stclaircollege.ca,Canadian dollar(Can$)
1,conestogac college,https://www.conestogac.on.ca/_content/CorporateWebsiteWebLibrary/images/conestoga-logo.svg,"299 Doon Valley Drive, Kitchener, Ontario N2G 4M4, Canada",Canada,Ontario,Ontario,N2G 4M4,https://www.conestogac.on.ca,Canadian dollar(Can$)
2,fanshawec college,https://www.fanshawec.ca/themes/custom/de_theme/logo.png,"1001 Fanshawe College Blvd. London, Ontario Canada N5Y 5R6",Canada,Ontario,Ontario,N5Y 5R6,https://www.fanshawec.ca,Canadian dollar(Can$)
3,sheridan college,https://www.sheridancollege.ca/-/media/project/sheridan/shared/images/logos/sheridan-logo-header.svg?iar=0&hash=5A9DAC972DB1E11500CBCE898959A413,"7899 McLaughlin Road Brampton, Ontario L6Y 5H9 | 459-7533 4180 Duke of York Boulevard Mississauga, Ontario L5B 0G5 | 845-9430 1430 Trafalgar Road Oakville, Ontario L6H 2L1",Canada,Ontario,Ontario,L6H 2L1,https://www.sheridancollege.ca,Canadian dollar(Can$)
4,langara college,https://langara.ca/_files/2019-layout/images/musqueamLogoNoTL.svg,100 West 49th Avenue Vancouver B.C. Canada V5Y 2Z6,Canada,B.C.,B.C.,V5Y 2Z6,https://langara.ca,Canadian dollar(Can$)
5,georgebrown college,https://www.georgebrown.ca/themes/custom/de_theme/logo.svg,Not Found,Not Found,Not Found,Not Found,Not Found,https://www.georgebrown.ca,Not Found
6,seneca college,https://www.senecacollege.ca/home.html/content/dam/projects/seneca/seneca-logo.svg,"1750 Finch Avenue East, Toronto, Ontario, Canada, M2J 2X5",Canada,Ontario,Ontario,M2J 2X5,https://www.senecacollege.ca/home.html,Canadian dollar(Can$)
7,durham college,https://durhamcollege.ca/wp-content/themes/durhamcollege.ca/assets/images/brand/dc-logos-2020-long-341-pride-01.svg,"19 pandemic. 2000 Simcoe St. N., Oshawa, ON, Canada L1G 0C5 | 1610 Champlain Avenue, Whitby, ON, Canada L1N 6A7",Canada,ON,ON,L1N 6A7,https://durhamcollege.ca,Canadian dollar(Can$)
8,niagara college,https://www.niagaracollege.ca/wp-content/uploads/NC-Horizontal-Logo.png,"100 Niagara College Boulevard, Welland, Ontario L3C 7L3, Canada | 135 Taylor Road, Niagara-on-the-Lake, Ontario L0S 1J0, Canada",Canada,Ontario,Ontario,L0S 1J0,https://www.niagaracollege.ca,Canadian dollar(Can$)
9,georgian college,https://www.georgiancollege.ca/wp-content/themes/georgian/imgs/georgian-college-experience-logo-colour-2018.svg,"One Georgian Dr., Barrie ON L4M 3X9",Canada,ON,ON,L4M 3X9,https://www.georgiancollege.ca,Canadian dollar(Can$)
10,sault college,https://www.saultcollege.ca/themes/custom/sault/src/000_assets/logos/logo.svg,"443 Northern Ave Sault Ste. Marie, ON Canada, P6B 4J3",Canada,ON,ON,P6B 4J3,https://www.saultcollege.ca,Canadian dollar(Can$)
11,cambrian college,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,https://cambriancollege.ca,Not Found
12,humber college,https://humber.ca/assets/images/home/collision-logo.png;wa5a5b4c663f52899a,Not Found,Not Found,Not Found,Not Found,Not Found,https://humber.ca,Not Found
13,centennial college,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,https://www.centennialcollege.ca,Not Found
